subID,sub,run,trial,direction,ResponseTime,MovementTime,ErrorAngle,AccelerationAngle,Accuracy,TimePeakVelocity,DistancePeakVelocity,PeakVelocity,PeakAcceleration,InitialDirectionAngle,Outlier,Keep,age,dist_sums,dist_std,dist_max,dist_means,path_lengths,angular_averages
VML_MEG_015,12,5,19,1,0.541,0.935,16.465,13.78,0,0.678,10.479,130.83,3258.7,16.4691121875746,0,1,12,471.455708984283,0.755943526708824,2.45354790376636,1.57151902994761,10.9045312562576,-29.1727611020617
VML_MEG_015,12,5,20,1,0.018,1.463,19.927,19.46,0,0.644,5.0615,25.586,156.51,19.9289339300973,0,1,12,375.425181323738,0.589004341398957,2.12168014094006,1.25141727107913,10.9724620396267,25.7286927230453
VML_MEG_015,12,5,21,-1,0.29,1.205,48.097,47.818,1,0.39,5.434,75.338,4057.7,48.1209739528097,0,1,12,1880.96261358081,3.58333246961174,10.8594008263267,6.2698753786027,24.255868344593,28.6098798494227
VML_MEG_015,12,5,22,1,0.209,1.304,13.056,4.3785,0,0.576,7.5277,49.351,338.32,13.0484533997658,0,1,12,1422.89910260511,3.56557698759029,9.86142420661633,4.74299700868368,24.6686970800456,-53.1601301527424
VML_MEG_015,12,5,23,-1,0.226,1.282,-6.6604,-6.4738,1,0.538,3.8283,31.644,216.7,-6.59701087742553,0,1,12,316.396564330999,0.890503853257608,2.98742399463418,1.05465521443666,11.0671652468412,46.7735764914843
VML_MEG_015,12,5,24,-1,0.588,0.92,7.5724,18.966,1,0.867,6.9047,56.086,374.25,7.63473619959357,0,1,12,678.071592636002,1.56596645823547,5.02457680917651,2.26023864212001,12.2607656085718,42.6364425131297
VML_MEG_015,12,5,25,1,0.594,0.913,26.35,26.598,0,0.757,2.2885,24.499,242.9,26.4466811045858,0,1,12,204.388061949619,0.26892548318543,1.09482231183413,0.681293539832062,11.2510851879655,-19.971611895342
VML_MEG_015,12,5,26,1,0.245,1.245,31.131,33.708,1,0.505,5.8605,41.609,198.57,31.0275159101711,0,1,12,1252.08094445355,2.66753698447702,7.61185279528304,4.17360314817848,18.3259470858553,66.4457381322652
VML_MEG_015,12,5,27,1,0.256,1.226,25.694,20.575,1,0.467,3.6004,29.32,277.67,25.654095713667,0,1,12,739.804620210845,1.56115195631121,4.50450340712571,2.46601540070282,12.6841385851405,-21.8691082438158
VML_MEG_015,12,5,28,-1,0.237,0.606,24.968,8.4467,1,0.481,2.8428,22.386,170.71,25.0070589775679,0,1,12,419.280730324536,0.592955013311934,2.07169735205712,1.39760243441512,11.7652829552505,20.3677940368661
VML_MEG_015,12,5,29,-1,0,1.496,19.075,11.378,1,0.385,3.5523,34.636,421.4,19.126328632133,0,1,12,542.026410669471,1.03541609096179,3.27037458112325,1.80675470223157,12.8965851586361,29.170936913103
VML_MEG_015,12,5,30,-1,0.336,1.072,2.5881,11.713,1,0.527,5.2338,42.373,374.46,2.61690555113253,0,1,12,838.229862442355,1.78838698633023,5.40426652005,2.79409954147452,11.1446591065019,4.46333998564717
VML_MEG_016,13,1,1,1,0.39,1.02,-16.923,-22.903,1,0.536,3.7491,48.42,489.6,-16.9904820344753,0,1,13,544.021002220135,1.19355641459003,3.76088919454787,1.81340334073378,12.5124636565648,3.26028558193998
VML_MEG_016,13,1,2,-1,0.202,0.434,-11.26,-11.786,1,0.477,5.4337,53.248,462.66,-11.2451920766719,0,1,13,650.967296099629,1.3446261729436,4.04883809800545,2.16989098699876,11.7552743265228,0.37752545760104
VML_MEG_016,13,1,3,1,0.232,0.412,-19.245,-10.3,1,0.377,3.6291,42.265,427.23,-19.2377731704178,0,1,13,354.715078591008,0.456817996370812,1.79509524997033,1.18238359530336,12.6612370226317,-71.9591739037388
VML_MEG_016,13,1,4,-1,0.261,0.987,0.40275,10.706,1,0.357,3.0994,44.035,1078.9,0.402669108470704,0,1,13,168.10022123889,0.347895270920466,1.13692209576563,0.560334070796301,11.6121059589733,-22.0238403745092
VML_MEG_016,13,1,5,1,0.297,0.942,-21.238,-20.84,1,0.425,4.5144,53.865,741.64,-21.169261832929,0,1,13,1193.3446785838,2.49995288822068,7.74799992736442,3.97781559527934,13.9038119541472,-49.3063045288372
VML_MEG_016,13,1,6,-1,0.268,0.829,-10.33,-9.5284,1,0.394,6.3573,76.246,1178.3,-10.3402200963809,0,1,13,1357.05322778861,2.94906212496066,8.58018648458965,4.52351075929537,16.0125941843934,-60.6500504433719
VML_MEG_016,13,1,7,1,0.294,0.367,-20.082,-6.4577,1,0.431,4.3308,60.289,1045.6,-20.1399964540846,0,1,13,349.157184196465,0.470218144544353,1.83282968583945,1.16385728065488,13.4485317983751,-67.6524926187899
VML_MEG_016,13,1,8,-1,0.258,1.205,-3.3125,-2.1428,1,0.424,5.609,57.072,474.37,-3.32244762931511,0,1,13,235.126714694974,0.373736740628104,1.38709103232624,0.783755715649914,11.5443474146258,-1.42442293809825
VML_MEG_016,13,1,9,-1,0.503,0.916,1.3861,-1.6213,1,0.616,5.9379,80.927,1119.3,1.3548889733173,0,1,13,1476.01462344283,3.28536065804566,9.80405639246708,4.92004874480942,15.8294858961269,-104.733744849746
VML_MEG_016,13,1,10,1,0.193,1.002,-27.043,148.32,1,0.315,4.534,60.43,759.92,-27.0132941118979,0,1,13,1174.93279396467,2.49680289830018,7.6428597846854,3.91644264654889,14.9880662962142,-72.3826314350119
VML_MEG_016,13,2,1,1,0.221,0.888,37.949,32.383,1,0.325,3.93,45.505,470.61,37.8452712632624,0,1,13,1808.10452142167,3.26538698545371,10.2295272277292,6.02701507140558,24.7500004180811,29.8826475710076
VML_MEG_016,13,2,2,1,0.263,0.76,27.066,32.049,1,0.386,5.7488,63.511,765.32,26.9477278703294,0,1,13,2055.50838697814,3.61252510106105,10.9917567149808,6.85169462326047,27.559055014901,50.2423928425481
VML_MEG_016,13,2,3,-1,0.364,1.143,41.1,41.988,0,0.461,5.3205,75.891,2891.2,41.0721496522205,0,1,13,1977.89600873423,3.10742694153533,10.0774868638458,6.59298669578075,26.1685623797397,24.0768311151785
VML_MEG_016,13,2,4,1,0.314,1.171,32.081,34.026,1,0.587,6.1656,52.199,337.82,32.0829728795242,0,1,13,1160.17941646766,2.54199817728587,7.60087763120579,3.86726472155888,19.7171269021723,75.341447517262
VML_MEG_016,13,2,5,1,0.33,1.006,35.487,72.583,1,0.55,8.7961,64.454,470.11,35.6164292316211,0,1,13,1600.27076179519,4.0380377010701,11.8933308733115,5.33423587265062,24.6173216589888,56.6550645302711
VML_MEG_016,13,2,6,1,0.245,1.184,42.734,58.731,1,0.487,7.0235,63.128,537.81,42.541153838385,0,1,13,1541.8547885385,3.72083589751553,11.0629462396809,5.13951596179498,23.6643167469493,29.8768623910075
VML_MEG_016,13,2,7,-1,0.144,0.522,3.0573,-31.195,1,0.645,9.8035,90.641,782.77,2.89661143657974,0,1,13,1303.59105107188,2.33237947232956,7.52147597540282,4.34530350357292,12.4331839151023,100.556704826669
VML_MEG_016,13,2,8,-1,0.33,0.595,22.674,28.652,1,0.483,9.0757,96.374,2788.9,22.6373412688498,0,1,13,2183.34144917891,4.69484965193518,13.4545083056908,7.27780483059637,31.8488642693817,15.9891369769203
VML_MEG_016,13,2,9,1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,0,13,NaN,NaN,NaN,NaN,NaN,NaN
VML_MEG_016,13,2,10,1,0.174,1.14,-26.389,-4.433,1,0.412,5.0315,55.691,488.9,93.4966189733836,0,1,13,1966.04984295767,3.98136103669952,11.7879269521919,6.55349947652558,35.71228501963,56.6356473746874
VML_MEG_016,13,2,11,1,0.264,1.241,-37.059,-7.6895,0,0.486,9.8361,81.311,609.2,83.4552010395335,0,1,13,2597.84347524084,5.72711832322038,17.6928636047631,8.65947825080279,45.2179780343223,18.3933181225886
VML_MEG_016,13,2,12,-1,0.236,0.315,-14.482,-24.069,1,0.51,7.7871,79.188,685.13,-14.4952497965675,0,1,13,885.643446041562,1.52716926033831,4.86507365669023,2.95214482013854,10.9934772643694,36.8168796238189
VML_MEG_016,13,2,13,1,0.397,1.106,-50.898,-43.178,1,0.529,10.226,110.32,2854.6,68.9467215826297,0,1,13,2935.32433025426,6.67137905704091,20.3239860581732,9.78441443418088,46.1701939753706,13.8570245194895
VML_MEG_016,13,2,14,-1,0.217,1.088,-9.3874,-49.992,1,0.44,9.4756,79.203,564.82,1.00285379393607,0,1,13,1281.0838724696,4.00175328990123,11.5013458372092,4.27027957489865,32.0980968583481,32.2004910862755
VML_MEG_016,13,2,15,1,0.209,1.29,-52.68,-33.738,1,0.437,9.9937,100.28,856.58,67.6204954215374,0,1,13,3174.88320608425,6.75091464031908,20.6449231513663,10.5829440202808,48.8584142365959,31.0364515665689
VML_MEG_016,13,2,16,-1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,0,13,NaN,NaN,NaN,NaN,NaN,NaN
VML_MEG_016,13,2,17,-1,0.298,0.929,-33.105,-50.595,1,0.437,6.0866,64.944,925.85,-33.3846291925524,0,1,13,1341.41022719192,3.02874947998358,9.18273297606371,4.47136742397308,20.1213192902618,-0.0310319635963805
