2	30	1	1	0.27	0.854	12.996	9.8824	21.393	4.6577	46.279	598.07
3	1	1	1	0.256	1.236	19.715	22.063	27.563	7.3026	40.841	225.88
3	2	1	1	0.243	1.248	14.626	16.567	17.515	7.5205	27.212	162.96
3	3	-1	1	0.017	1.443	24.079	19.07	25.741	7.36	51.639	269.75
3	4	1	1	0.253	1.216	22.854	17.917	34.596	3.1929	29.565	267.61
3	5	-1	1	0.298	1.183	50.198	40.436	49.509	6.3657	95.378	2842
3	6	1	1	0.249	1.208	12.24	20.064	30.466	9.1904	45.417	704.59
3	7	1	1	0.12	0.79	27.9	25.485	38.109	5.1249	53.83	448.71
3	8	1	1	0.286	1.04	12.161	15.34	19.528	6.4881	72.009	1125.6
3	9	-1	1	0.399	0.955	-129.71	18.556	-128.3	4.2832	50.899	1510.7
3	10	-1	1	0.222	1.281	15.461	14.526	19.912	8.1961	58.932	305.23
3	11	1	1	0.351	0.789	7.2249	7.304	8.048	6.331	60.528	445.7
3	12	-1	1	0.406	1.053	24.181	28.766	22.774	4.9321	56.511	616.93
3	13	1	1	0.129	1.373	-1.7279	-2.4824	7.5613	3.5087	27.2	143.97
3	14	-1	1	0.348	1.135	38.022	35.688	42.352	5.9948	68.317	1138.4
3	15	1	1	0.311	1.185	3.9968	2.1527	15.265	7.8191	79.603	889.2
3	16	-1	1	0.053	1.442	40.974	41.559	38.832	5.7357	46.375	295.22
3	17	-1	1	0.35	0.947	4.5473	1.6181	-4.1559	3.6142	39.963	1781.4
3	18	1	1	0.271	0.82	19.713	18.035	26.241	4.7897	48.849	394.23
3	19	1	1	0.184	1.28	21.18	21.149	41.624	4.2288	25.738	131.98
3	20	1	1	0	1.384	27.031	30.462	42.275	6.1588	41.27	309.93
3	21	-1	1	0.427	1.086	21.333	21.271	4.7849	4.9737	37.372	6630.5
3	22	-1	1	0.303	0.976	18.51	13.931	27.53	4.6978	55.607	678.78
3	23	-1	1	0.313	0.943	44.541	44.282	43.236	4.6261	47.818	5180.4
3	24	1	1	0.264	1.199	27.019	26.328	38.616	5.0918	43.374	275.54
3	25	1	1	0.386	1.119	-1.8122	3.4994	4.6512	2.8644	31.576	549.1
3	26	-1	1	0.259	1.244	41.312	40.013	47.222	4.7956	57.085	553.48
3	27	1	1	0.312	1.058	25.838	27.923	47.582	6.9942	55.584	419.57
3	28	-1	1	0.253	1.219	52.193	44.78	63.504	6.0435	60.402	591.8
3	29	-1	1	0.244	1.107	17.426	13.938	15.389	6.632	88.624	1524.1
3	30	-1	1	0.394	1.109	15.834	6.8962	13.14	2.72	29.659	856.51
4	1	-1	1	0.295	1.179	10.715	8.7775	15.897	5.9935	81.099	5562.5
4	2	1	1	0.328	0.937	-29.183	-25.163	-24.044	5.1599	24.643	509.55
4	3	1	1	0.341	1.134	-22.762	-18.713	-23.553	4.3116	51.737	574.58
4	4	1	1	0.368	1.118	135.32	-26.787	137.99	4.6381	39.567	512.15
4	5	-1	1	0.348	0.995	-30.692	-24.187	-32.035	2.4687	30.445	827.64
4	6	-1	1	0.339	1.166	-0.76776	-0.68919	8.5901	8.738	38.92	1343.4
4	7	1	1	0.334	1.148	-24.294	-22.24	-25.709	4.7457	48.795	432.91
4	8	1	1	0.334	1.174	-34.847	-33.786	-33.376	4.4746	47.657	403.83
4	9	-1	1	0.309	1.072	-16.077	-20.932	-20.238	4.6679	40.265	385.75
4	10	-1	1	1.137	0.358	-145.3	9.204	-117.76	9.675	38.085	343.54
4	11	-1	1	0.375	1.076	59.155	55.856	66.245	3.9963	44.57	400.65
4	12	1	1	0.571	0.896	-202	-37.472	-203.93	2.1953	33.871	1544.3
4	13	1	1	0.349	1.137	-65.776	-63.393	-67.95	4.6822	51.089	449.19
